id,name,activity_name,total,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,mitra_id,certified,logo,mitra_name,Kab/Kot,Provinsi,Tipe Lokasi,Lokasi,Nama_Provinsi,durasi_magang
b2806201-9170-11ed-9868-2aac6d703fc9,-,PAN 8 Sragen Internship Program (PSIP),1,2023-02-10,2023-07-10,2022-11-21,2023-01-20,20,OFFLINE,Kab. Boyolali,30900.0,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,Garment Manufacturing,Kab. Boyolali,Jawa Tengah,Kabupaten,Boyolali,JawaTengah,150.0
db594c01-9170-11ed-89f0-56581bb5cdd9,-,PAN 8 Sragen Internship Program (PSIP),1,2023-02-10,2023-07-10,2022-11-21,2023-01-20,20,OFFLINE,Kab. Boyolali,30900.0,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,Garment Manufacturing,Kab. Boyolali,Jawa Tengah,Kabupaten,Boyolali,JawaTengah,150.0
6a7bbbab-7508-11ed-b2a2-1a198d2f4c14,2D/3D Animator Intern,BNI Digital Talent Thematic Internship,13,2023-02-16,2023-06-30,2022-12-29,2023-01-20,20,OFFLINE,Kota Jakarta Barat,16200.0,1434cd57-6295-441a-898a-7294119a96d7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_642f3ae3-5162-4f40-aba6-e0c819df5f56.jpg,BNI,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,134.0
96684230-7093-11ed-8312-feb214c74b66,3D Artist,VR Lab Development		,1,2023-02-16,2023-06-30,2022-12-19,2023-01-27,20,OFFLINE,Kota Yogyakarta,46000.0,95c5cbf2-68be-4146-9fef-f891db857f3b,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fd204644-5cb0-4ff1-a187-0becd4016be4.png,Telkom,Kota Yogyakarta,DI Yogyakarta,Kota,KotaYogyakarta,Yogyakarta,134.0
fef8450f-7092-11ed-8ea0-7e8ddab09462,3D Artist ,AI-Powered Immersive Learning,10,2023-02-13,2023-06-30,2022-12-05,2023-01-31,20,OFFLINE,Kota Bandung,26000.0,f6940620-cc8b-4134-8290-7f511d8cc1a6,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93ec7e4d-0083-4e54-994c-f8a406cd7f3f.jpg,Soca AI,Kota Bandung,Jawa Barat,Kota,KotaBandung,JawaBarat,137.0
487aca21-6f99-11ed-83fd-7e8ddab09462,3D Asset Designer,Extended Reality Learning Module Development Program,10,2023-02-16,2023-06-30,2022-12-01,2023-02-10,20,OFFLINE,Kab. Bekasi,22200.0,e3c02360-8ec1-4783-9790-80afa6cf1114,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_caf860b4-53f3-4eff-addc-dcc5b198740d.jpg,Dankos,Kab. Bekasi,Jawa Barat,Kabupaten,Bekasi,JawaBarat,134.0
57d58014-709b-11ed-b6f6-62d54cabf853,3D Designer,Learning Practice Program ,4,2023-02-16,2023-06-30,2023-01-20,2023-01-31,20,OFFLINE,Kota Jakarta Timur,16400.0,b8aaf5af-e69c-4434-89b5-dc2dbbdf7a15,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c197900c-4362-422d-8cef-5c2f03d7ddb6.png,Synapsis.id,Kota Jakarta Timur,DKI Jakarta,Kota,JakartaTimur,JakartaRaya,134.0
ddf4a4d4-6177-11ed-aaab-4a119f027d25,3D Designer in Developing Digital Transformation and Industry 4.0,Developing Digital Transformation and Industry 4.0 through 3D Designing,25,2023-02-20,2023-06-30,2022-12-01,2023-01-13,20,OFFLINE,Kab. Sleman,40200.0,ba16e287-a822-457d-9d45-5b2e5a47af1f,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,Kab. Sleman,DI Yogyakarta,Kabupaten,Sleman,Yogyakarta,130.0
ad58cd80-7f86-11ed-bcbb-96627b1c4bb1,3PL Ops Analyst Intern,Program Magang Lazada Logistics Indonesia [Cimanggis],3,2023-02-16,2023-06-30,2022-12-21,2023-02-16,20,OFFLINE,Kota Depok,26600.0,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada,Kota Depok,Jawa Barat,Kota,Depok,JawaBarat,134.0
089c647b-8083-11ed-91e0-ae9e72da6bb1,ACAD - Art Collection Data Administrator - Koleksi Keramik & Benda Kayu (Jakarta),"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",4,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
6f586748-8083-11ed-be97-9aeeab388a33,ACAD - Article Data Administrator (Bali),"Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",2,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
de1c7b72-8081-11ed-bf55-e28bf6b6d14d,"ACAD - Asset and Art Data Administrator - Koleksi Lukisan, Wayang, dan Buku (Jakarta)","Kompas Gramedia - Bentara Budaya: Art, Culture, And Partnership",2,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
